rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
20.266666666666666,912,0,45,30.305817799999996,2611,0.05,711,0.0001,4.114544868469238
20.195652173913043,929,0,46,29.745256891304344,2658,0.05,728,0.0001,1.1604061126708984
20.340425531914892,956,0,47,29.90465663829787,2726,0.05,755,0.0001,2.4585630893707275
20.270833333333332,973,0,48,30.524643770833332,2772,0.05,772,0.0001,1.944088339805603
20.20408163265306,990,0,49,31.676572714285715,2815,0.05,789,0.0001,1.7885288000106812
20.14,1007,0,50,32.88933024,2861,0.05,806,0.0001,3.6422278881073
20.058823529411764,1023,0,51,32.30658105882353,2902,0.05,822,0.0001,1.8674896955490112
20.153846153846153,1048,0,52,31.726971576923077,2968,0.05,847,0.0001,2.2045533657073975
20.28301886792453,1075,0,53,31.496802849056603,3035,0.05,874,0.0001,1.775885820388794
20.37037037037037,1100,0,54,31.84633996296296,3115,0.05,899,0.0001,1.4569354057312012
20.29090909090909,1116,0,55,31.35393267272727,3169,0.05,915,0.0001,2.969376802444458
20.214285714285715,1132,0,56,31.118667714285714,3225,0.05,931,0.0001,1.003385305404663
20.140350877192983,1148,0,57,30.81908294736842,3272,0.05,947,0.0001,3.0076868534088135
20.086206896551722,1165,0,58,30.515363172413792,3329,0.05,964,0.0001,1.3475611209869385
20.06779661016949,1184,0,59,30.73634047457627,3380,0.05,983,0.0001,2.892993927001953
20.016666666666666,1201,0,60,30.255518416666668,3427,0.05,1000,0.0001,1.0664077997207642
19.950819672131146,1217,0,61,30.095616672131147,3469,0.05,1016,0.0001,2.1255412101745605
20.048387096774192,1243,0,62,30.3638625,3538,0.05,1042,0.0001,2.8148012161254883
19.984126984126984,1259,0,63,29.882033904761908,3581,0.05,1058,0.0001,1.6883634328842163
19.921875,1275,0,64,30.094303687500002,3624,0.05,1074,0.0001,1.0125529766082764
19.861538461538462,1291,0,65,30.312664861538465,3666,0.05,1090,0.0001,1.435380220413208
19.90909090909091,1314,0,66,30.105444636363643,3731,0.05,1113,0.0001,0.8015174269676208
19.850746268656717,1330,0,67,30.405808089552245,3794,0.05,1129,0.0001,2.966287612915039
19.794117647058822,1346,0,68,30.797772794117652,3850,0.05,1145,0.0001,1.621053695678711
19.753623188405797,1363,0,69,31.550801985507245,3897,0.05,1162,0.0001,1.4678386449813843
19.714285714285715,1380,0,70,32.38334075714286,3946,0.05,1179,0.0001,1.3828872442245483
19.816901408450704,1407,0,71,32.54668461971831,4047,0.05,1206,0.0001,2.00919771194458
19.77777777777778,1424,0,72,32.95405347222223,4104,0.05,1223,0.0001,1.1396831274032593
19.726027397260275,1440,0,73,33.19290675342466,4155,0.05,1239,0.0001,2.357837677001953
19.68918918918919,1457,0,74,33.409724675675676,4211,0.05,1256,0.0001,2.5021305084228516
19.706666666666667,1478,0,75,33.65635246666667,4276,0.05,1277,0.0001,2.0637035369873047
19.67105263157895,1495,0,76,33.216366868421055,4343,0.05,1294,0.0001,2.9011659622192383
19.61038961038961,1510,0,77,33.270689181818184,4404,0.05,1309,0.0001,1.7238801717758179
19.653846153846153,1533,0,78,32.964739,4498,0.05,1332,0.0001,2.505929708480835
19.70886075949367,1557,0,79,33.18400002531646,4593,0.05,1356,0.0001,1.2889353036880493
19.675,1574,0,80,33.9149199125,4664,0.05,1373,0.0001,1.6428205966949463
19.641975308641975,1591,0,81,33.526355259259255,4734,0.05,1390,0.0001,3.198608160018921
