time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
40212,33.70611685,11468,560,0.1,20.14,0,0.0001,11267,1.728958010673523
40290,33.78585357,11492,561,0.1,20.16,0,0.0001,11291,2.908541679382324
40346,34.4198071,11509,562,0.1,20.11,0,0.0001,11308,3.3273444175720215
40398,35.02058948,11525,563,0.1,20.04,0,0.0001,11324,2.077293634414673
40461,35.03111835,11544,564,0.1,20.07,0,0.0001,11343,3.7281651496887207
40516,35.441209810000004,11561,565,0.1,20.08,0,0.0001,11360,1.6997575759887695
40566,35.75222249,11577,566,0.1,19.95,0,0.0001,11376,6.0948967933654785
40655,35.72998627,11604,567,0.1,20.0,0,0.0001,11403,2.574983596801758
40731,35.70440305,11628,568,0.1,20.08,0,0.0001,11427,2.9844863414764404
40782,35.741243589999996,11644,569,0.1,20.08,0,0.0001,11443,3.8041727542877197
40861,35.8869723,11669,570,0.1,20.07,0,0.0001,11468,2.896909713745117
40927,35.425071620000004,11689,571,0.1,20.1,0,0.0001,11488,2.995582342147827
40989,35.93102201000001,11709,572,0.1,20.14,0,0.0001,11508,3.838006019592285
41044,36.18424724000001,11726,573,0.1,20.04,0,0.0001,11525,2.4405899047851562
41100,36.9236954,11743,574,0.1,20.02,0,0.0001,11542,3.297903299331665
41178,37.42911555,11767,575,0.1,20.04,0,0.0001,11566,2.3136484622955322
41259,37.77282582,11793,576,0.1,20.1,0,0.0001,11592,3.262812852859497
41313,38.15019349999999,11810,577,0.1,20.01,0,0.0001,11609,2.755091667175293
41365,38.65189579,11826,578,0.1,20.01,0,0.0001,11625,2.564488172531128
41422,38.66777836999999,11844,579,0.1,20.04,0,0.0001,11643,3.0619053840637207
41485,38.765278869999996,11864,580,0.1,19.95,0,0.0001,11663,2.5308988094329834
41537,37.93777642,11880,581,0.1,19.95,0,0.0001,11679,3.8593482971191406
41613,37.990022509999996,11904,582,0.1,19.9,0,0.0001,11703,2.507355213165283
41667,38.08036019,11921,583,0.1,19.91,0,0.0001,11720,3.6099655628204346
41754,38.23691175999999,11949,584,0.1,20.0,0,0.0001,11748,4.555551052093506
41821,38.122569819999995,11970,585,0.1,20.04,0,0.0001,11769,3.551828145980835
41873,38.12390528,11986,586,0.1,20.03,0,0.0001,11785,5.942211151123047
41962,37.692249499999996,12015,587,0.1,20.16,0,0.0001,11814,2.0905020236968994
42019,38.342732670000004,12033,588,0.1,20.15,0,0.0001,11832,1.9701353311538696
42082,38.84274054,12053,589,0.1,20.1,0,0.0001,11852,3.0668962001800537
42152,39.539843620000006,12074,590,0.1,20.12,0,0.0001,11873,1.887341856956482
42220,39.30646497000001,12095,591,0.1,20.16,0,0.0001,11894,2.97566819190979
42274,39.609056710000004,12112,592,0.1,20.16,0,0.0001,11911,4.362242698669434
42327,39.454988990000004,12128,593,0.1,20.07,0,0.0001,11927,3.490607500076294
42379,40.05480584,12144,594,0.1,19.95,0,0.0001,11943,2.300018787384033
42437,40.39315234,12162,595,0.1,19.96,0,0.0001,11961,3.5141098499298096
42516,39.66145458,12187,596,0.1,20.04,0,0.0001,11986,3.3498270511627197
42603,39.74794254,12215,597,0.1,20.15,0,0.0001,12014,2.3986544609069824
42660,39.28922754,12233,598,0.1,20.16,0,0.0001,12032,3.3023788928985596
42712,39.802089239999994,12249,599,0.1,20.1,0,0.0001,12048,2.2215118408203125
42766,39.07099703,12266,600,0.1,20.11,0,0.0001,12065,4.680821895599365
42852,39.26874154,12293,601,0.1,20.22,0,0.0001,12092,2.857081890106201
42904,40.16446282,12309,602,0.1,20.11,0,0.0001,12108,2.2596566677093506
42987,40.50179724,12336,603,0.1,20.22,0,0.0001,12135,4.624214172363281
43038,39.561423590000004,12352,604,0.1,20.14,0,0.0001,12151,1.9975820779800415
43090,39.88126030000001,12368,605,0.1,20.14,0,0.0001,12167,2.854884147644043
43153,40.37740298000001,12387,606,0.1,20.13,0,0.0001,12186,2.6757094860076904
43215,41.06952978000001,12406,607,0.1,20.16,0,0.0001,12205,2.5087482929229736
43264,41.160138100000005,12422,608,0.1,20.16,0,0.0001,12221,3.334674119949341
43313,41.166681180000005,12437,609,0.1,20.08,0,0.0001,12236,3.5441904067993164
43393,40.9695968,12463,610,0.1,20.08,0,0.0001,12262,2.9013278484344482
43461,41.21071648,12484,611,0.1,20.0,0,0.0001,12283,4.373281002044678
43512,42.0519233,12500,612,0.1,19.98,0,0.0001,12299,5.297733783721924
43564,42.75106992999999,12516,613,0.1,19.97,0,0.0001,12315,4.653488636016846
43655,42.761396809999994,12545,614,0.1,20.0,0,0.0001,12344,1.8760725259780884
