time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
0,623,63.16706244827585,29,1543,21.482758620689655,0.05,0.0001,322,14.048786163330078
0,639,63.04907506666666,30,1581,21.3,0.05,0.0001,338,22.513019561767578
0,661,62.340306193548386,31,1645,21.322580645161292,0.05,0.0001,360,18.269956588745117
0,690,60.79799028125,32,1724,21.5625,0.05,0.0001,389,16.00177764892578
0,708,62.067691969696966,33,1768,21.454545454545453,0.05,0.0001,407,16.30316925048828
0,727,60.98970032352942,34,1813,21.38235294117647,0.05,0.0001,426,16.454599380493164
0,747,64.18113862857143,35,1862,21.34285714285714,0.05,0.0001,446,17.760082244873047
0,772,65.83603372222223,36,1939,21.444444444444443,0.05,0.0001,471,16.166820526123047
0,794,62.07675010810811,37,2000,21.45945945945946,0.05,0.0001,493,15.452519416809082
0,810,65.44938144736842,38,2038,21.31578947368421,0.05,0.0001,509,15.186363220214844
0,829,66.63822566666668,39,2085,21.256410256410255,0.05,0.0001,528,17.509878158569336
0,852,67.235736825,40,2148,21.3,0.05,0.0001,551,17.182031631469727
0,870,71.85058863414635,41,2194,21.21951219512195,0.05,0.0001,569,14.506668090820312
0,894,71.2591505,42,2245,21.285714285714285,0.05,0.0001,593,12.914032936096191
0,924,72.34000739534885,43,2310,21.488372093023255,0.05,0.0001,623,21.215789794921875
0,946,71.41591388636364,44,2359,21.5,0.05,0.0001,645,14.844569206237793
0,964,74.26213351111112,45,2395,21.42222222222222,0.05,0.0001,663,17.791536331176758
0,984,77.37126917391305,46,2442,21.391304347826086,0.05,0.0001,683,20.032970428466797
0,1000,81.43489161702128,47,2483,21.27659574468085,0.05,0.0001,699,20.48724365234375
0,1016,77.28247725,48,2507,21.166666666666668,0.05,0.0001,715,18.74091911315918
0,1043,78.40567048979591,49,2585,21.285714285714285,0.05,0.0001,742,12.574377059936523
0,1070,79.20624294,50,2650,21.4,0.05,0.0001,769,19.57171630859375
0,1096,79.95674317647058,51,2730,21.49019607843137,0.05,0.0001,795,12.385992050170898
0,1120,81.1940326730769,52,2805,21.53846153846154,0.05,0.0001,819,12.664085388183594
0,1145,80.94220498113206,53,2851,21.60377358490566,0.05,0.0001,844,20.992050170898438
0,1165,78.60620085185184,54,2903,21.574074074074073,0.05,0.0001,864,16.122312545776367
0,1190,78.55266456363636,55,2950,21.636363636363637,0.05,0.0001,889,15.94610595703125
0,1206,79.75565378571427,56,2996,21.535714285714285,0.05,0.0001,905,15.91230297088623
0,1231,80.2473364736842,57,3046,21.596491228070175,0.05,0.0001,930,21.268821716308594
