
Partially Abstract Start State Probabilities: [###########################################################-] 98.7%
[12:06:34|metareasoning_env             |reset     |INFO ] Built the earth observation MDP: [states=288, actions=4, time=0.000067]
[12:06:39|policy_sketch_refine          |solve     |INFO ] Starting the sketch phase...
[12:06:39|policy_sketch_refine          |solve     |INFO ] Finished the sketch phase: [time=0.008993]
[12:06:39|policy_sketch_refine          |solve     |INFO ] Starting the refine phase...
[12:06:39|policy_sketch_refine          |refine    |INFO ] Enabled point of interest abstract state expansion: [abstract_states=[(3, 1), (2, 2)]]
[12:06:39|policy_sketch_refine          |refine    |INFO ] Built the PAMDP: [states=78, actions=4, time=0.082989]
[12:06:39|policy_sketch_refine          |refine    |INFO ] Initialized state information: [constants=6, variables=2]
[12:06:39|policy_sketch_refine          |refine    |INFO ] Ran the CPLEX solver: [time=0.177158]
[12:06:39|policy_sketch_refine          |refine    |INFO ] Found a feasible solution to the PAMDP
[12:06:39|policy_sketch_refine          |solve     |INFO ] Finished the refine phase: [time=0.260870]
[12:06:39|metareasoning_env             |step      |INFO ] Finished the policy sketch refine algorithm: [time=0.270059]
[12:06:39|metareasoning_env             |step      |INFO ] Calculated the values from the solution of policy sketch refine: [time=0.000075]
[12:06:39|metareasoning_env             |step      |INFO ] Calculated the ground states for the current abstract state: [time=0.000005]
[12:06:39|metareasoning_env             |step      |INFO ] Calculated the policy from the values: [time=0.017461]
[12:06:39|metareasoning_env             |step      |INFO ] Cached the ground states for the new abstract state: [abstract_0_1]
[12:06:39|metareasoning_env             |step      |INFO ] Current Ground State: [114]
[12:06:39|metareasoning_env             |step      |INFO ] Current Abstract State: [abstract_0_1]
